Opponent,Line,Our_Score,Their_Score,Event_Type,Act,Passer,Receiver,Defender,Player_0,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player 7,Elapsed Time (secs)
vs Thunderbirds,D,1,0,Defense,Pull,,,Cullen,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,0
vs Thunderbirds,D,1,0,Defense,Throwaway,,,Anonymous,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,4
vs Thunderbirds,D,1,0,Offense,Catch,Fergus,Bob,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,34
vs Thunderbirds,D,1,0,Offense,Catch,Bob,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,38
vs Thunderbirds,D,1,0,Offense,Catch,Fergus,Shiel,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,41
vs Thunderbirds,D,1,0,Offense,Catch,Shiel,Cullen,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,46
vs Thunderbirds,D,1,0,Offense,Catch,Cullen,Adrian,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,50
vs Thunderbirds,D,1,0,Offense,Catch,Adrian,Cullen,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,54
vs Thunderbirds,D,1,0,Offense,Catch,Cullen,Shiel,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,58
vs Thunderbirds,D,1,0,Offense,Catch,Shiel,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,62
vs Thunderbirds,D,1,0,Offense,Catch,Fergus,Shiel,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,66
vs Thunderbirds,D,1,0,Offense,Catch,Shiel,Cullen,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,70
vs Thunderbirds,D,1,0,Offense,Catch,Cullen,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,74
vs Thunderbirds,D,1,0,Offense,Catch,Fergus,Cullen,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,78
